1239,Maximum Length of a Concatenated String with Unique Characters,47.8%,Medium,1.08746055306763, https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters
273,Integer to English Words,27.1%,Hard,1.0184313643647775, https://leetcode.com/problems/integer-to-english-words
146,LRU Cache,33.2%,Medium,0.9494021756619252, https://leetcode.com/problems/lru-cache
348,Design Tic-Tac-Toe,54.3%,Medium,0.8803729869590728, https://leetcode.com/problems/design-tic-tac-toe
138,Copy List with Random Pointer,36.4%,Medium,0.8113437982562205, https://leetcode.com/problems/copy-list-with-random-pointer
54,Spiral Matrix,34.1%,Medium,0.7684855384560624, https://leetcode.com/problems/spiral-matrix
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.69945634975321, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
1246,Palindrome Removal,46.0%,Hard,0.6794349186959634, https://leetcode.com/problems/palindrome-removal
200,Number of Islands,46.8%,Medium,0.6346004158660578, https://leetcode.com/problems/number-of-islands
794,Valid Tic-Tac-Toe State,32.6%,Medium,0.6257058997644127, https://leetcode.com/problems/valid-tic-tac-toe-state
42,Trapping Rain Water,48.9%,Hard,0.6176631383787123, https://leetcode.com/problems/trapping-rain-water
1,Two Sum,45.6%,Easy,0.5816196797969626, https://leetcode.com/problems/two-sum
218,The Skyline Problem,34.6%,Hard,0.5769757487979034, https://leetcode.com/problems/the-skyline-problem
134,Gas Station,38.5%,Medium,0.5687668431527801, https://leetcode.com/problems/gas-station
25,Reverse Nodes in k-Group,42.1%,Hard,0.5548019913650492, https://leetcode.com/problems/reverse-nodes-in-k-group
5,Longest Palindromic Substring,29.5%,Medium,0.5535093105833294, https://leetcode.com/problems/longest-palindromic-substring
212,Word Search II,34.9%,Hard,0.5393056293017195, https://leetcode.com/problems/word-search-ii
1156,Swap For Longest Repeated Character Substring,49.0%,Medium,0.538996500732687, https://leetcode.com/problems/swap-for-longest-repeated-character-substring
340,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.5227814976619829, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
545,Boundary of Binary Tree,38.9%,Medium,0.5184398737512361, https://leetcode.com/problems/boundary-of-binary-tree
23,Merge k Sorted Lists,40.2%,Hard,0.49122961269552146, https://leetcode.com/problems/merge-k-sorted-lists
510,Inorder Successor in BST II,58.0%,Medium,0.47332739722482975, https://leetcode.com/problems/inorder-successor-in-bst-ii
93,Restore IP Addresses,35.6%,Medium,0.47237108409270245, https://leetcode.com/problems/restore-ip-addresses
443,String Compression,41.3%,Easy,0.4648256809530135, https://leetcode.com/problems/string-compression
99,Recover Binary Search Tree,39.7%,Hard,0.4602395756064721, https://leetcode.com/problems/recover-binary-search-tree
468,Validate IP Address,24.1%,Medium,0.44558510189758965, https://leetcode.com/problems/validate-ip-address
98,Validate Binary Search Tree,27.8%,Medium,0.4300234886494738, https://leetcode.com/problems/validate-binary-search-tree
445,Add Two Numbers II,54.5%,Medium,0.4214654494546055, https://leetcode.com/problems/add-two-numbers-ii
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.41418643622197904, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
557,Reverse Words in a String III,69.8%,Easy,0.4039661167637743, https://leetcode.com/problems/reverse-words-in-a-string-iii
679,24 Game,46.4%,Hard,0.4013413909243023, https://leetcode.com/problems/24-game
240,Search a 2D Matrix II,43.2%,Medium,0.3968649595445255, https://leetcode.com/problems/search-a-2d-matrix-ii
232,Implement Queue using Stacks,49.6%,Easy,0.39046720002438196, https://leetcode.com/problems/implement-queue-using-stacks
253,Meeting Rooms II,45.7%,Medium,0.37589684188619144, https://leetcode.com/problems/meeting-rooms-ii
470,Implement Rand10() Using Rand7(),46.3%,Medium,0.3746934494414107, https://leetcode.com/problems/implement-rand10-using-rand7
22,Generate Parentheses,62.7%,Medium,0.36260140367638205, https://leetcode.com/problems/generate-parentheses
127,Word Ladder,29.6%,Medium,0.35996786713577755, https://leetcode.com/problems/word-ladder
179,Largest Number,28.8%,Medium,0.35230239652612316, https://leetcode.com/problems/largest-number
1185,Day of the Week,64.0%,Easy,0.34898886906784754, https://leetcode.com/problems/day-of-the-week
116,Populating Next Right Pointers in Each Node,45.2%,Medium,0.34657253966731805, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
1044,Longest Duplicate Substring,31.9%,Hard,0.3378493311698002, https://leetcode.com/problems/longest-duplicate-substring
1236,Web Crawler,64.3%,Medium,0.33647223662121295, https://leetcode.com/problems/web-crawler
431,Encode N-ary Tree to Binary Tree,70.8%,Hard,0.3308542443169896, https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree
535,Encode and Decode TinyURL,79.9%,Medium,0.32631517792451364, https://leetcode.com/problems/encode-and-decode-tinyurl
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.32407608535777543, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
450,Delete Node in a BST,43.1%,Medium,0.3212561617242367, https://leetcode.com/problems/delete-node-in-a-bst
53,Maximum Subarray,46.5%,Easy,0.3123508739120354, https://leetcode.com/problems/maximum-subarray
206,Reverse Linked List,62.5%,Easy,0.31191034127655376, https://leetcode.com/problems/reverse-linked-list
105,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.30838486636029755, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
33,Search in Rotated Sorted Array,34.5%,Medium,0.3050410442923499, https://leetcode.com/problems/search-in-rotated-sorted-array
21,Merge Two Sorted Lists,53.5%,Easy,0.30215325354971423, https://leetcode.com/problems/merge-two-sorted-lists
828,Count Unique Characters of All Substrings of a Given String,45.2%,Hard,0.2972515234679316, https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string
44,Wildcard Matching,24.7%,Hard,0.29635426006094184, https://leetcode.com/problems/wildcard-matching
155,Min Stack,44.5%,Easy,0.29559427979545205, https://leetcode.com/problems/min-stack
8,String to Integer (atoi),15.4%,Medium,0.2948520886157078, https://leetcode.com/problems/string-to-integer-atoi
74,Search a 2D Matrix,36.5%,Medium,0.29107845681405486, https://leetcode.com/problems/search-a-2d-matrix
767,Reorganize String,48.7%,Medium,0.288685584829021, https://leetcode.com/problems/reorganize-string
186,Reverse Words in a String II,43.3%,Medium,0.2811673914305872, https://leetcode.com/problems/reverse-words-in-a-string-ii
17,Letter Combinations of a Phone Number,46.8%,Medium,0.27667543227352387, https://leetcode.com/problems/letter-combinations-of-a-phone-number
124,Binary Tree Maximum Path Sum,34.3%,Hard,0.2715704477876847, https://leetcode.com/problems/binary-tree-maximum-path-sum
46,Permutations,63.5%,Medium,0.2664106369752992, https://leetcode.com/problems/permutations
