909,Snakes and Ladders,38.4%,Medium,0.168705777104921, https://leetcode.com/problems/snakes-and-ladders
326,Power of Three,42.1%,Easy,0.11585923430189346, https://leetcode.com/problems/power-of-three
54,Spiral Matrix,34.1%,Medium,0.09619908149585338, https://leetcode.com/problems/spiral-matrix
200,Number of Islands,46.8%,Medium,0.04335253869282585, https://leetcode.com/problems/number-of-islands
907,Sum of Subarray Minimums,32.3%,Medium,0.03902934390573525, https://leetcode.com/problems/sum-of-subarray-minimums
394,Decode String,50.0%,Medium,0.01743216716867105, https://leetcode.com/problems/decode-string
863,All Nodes Distance K in Binary Tree,55.4%,Medium,0.0161554402222852, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
49,Group Anagrams,56.9%,Medium,0.014460261001258648, https://leetcode.com/problems/group-anagrams
371,Sum of Two Integers,50.7%,Medium,0.013364716132203554, https://leetcode.com/problems/sum-of-two-integers
139,Word Break,40.1%,Medium,0.008429383994401785, https://leetcode.com/problems/word-break
230,Kth Smallest Element in a BST,60.2%,Medium,0.006085520073802784, https://leetcode.com/problems/kth-smallest-element-in-a-bst
347,Top K Frequent Elements,61.2%,Medium,0.003299486074331776, https://leetcode.com/problems/top-k-frequent-elements
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0018681118827202508, https://leetcode.com/problems/remove-duplicates-from-sorted-array
440,K-th Smallest in Lexicographical Order,29.1%,Hard,0, https://leetcode.com/problems/k-th-smallest-in-lexicographical-order
772,Basic Calculator III,41.3%,Hard,0, https://leetcode.com/problems/basic-calculator-iii
814,Binary Tree Pruning,74.5%,Medium,0, https://leetcode.com/problems/binary-tree-pruning
1063,Number of Valid Subarrays,71.1%,Hard,0, https://leetcode.com/problems/number-of-valid-subarrays
